#OIII_Hb SII_Ha NII_Ha_both V
1.0545 -0.00667751 0.0364486 800.0
1.05296 0.000625921 0.0380907 825.0
1.04673 0.00810766 0.0424921 850.0
1.03965 0.0109366 0.0483452 875.0
1.02963 0.0186843 0.0516078 900.0
1.03238 0.0210542 0.0500579 925.0
1.02788 0.0274415 0.0524714 950.0
1.02144 0.033922 0.0528451 975.0
1.01641 0.0404811 0.0544279 1000.0
0.379614 -0.518826 -0.463604 100.0
0.240699 -0.576209 -0.520033 125.0
0.0523861 -0.594516 -0.565745 150.0
-0.0404769 -0.552218 -0.551851 175.0
-0.0263781 -0.443999 -0.434109 200.0
0.0746702 -0.394499 -0.333548 225.0
0.179034 -0.333642 -0.267759 250.0
0.342758 -0.252454 -0.205631 275.0
0.380193 -0.172407 -0.120395 300.0
0.433882 -0.129301 -0.0755283 325.0
0.458487 -0.108765 -0.0433768 350.0
0.5283 -0.0936266 -0.0164793 375.0
0.605359 -0.0937687 -0.000413178 400.0
0.676886 -0.0952231 0.0113883 425.0
0.760762 -0.0999271 0.0195104 450.0
0.826315 -0.0986576 0.024157 475.0
0.885124 -0.0971631 0.0296148 500.0
0.924904 -0.102519 0.0288028 525.0
0.973197 -0.0966538 0.0261497 550.0
1.01081 -0.0917634 0.0234748 575.0
1.02959 -0.0853613 0.0239074 600.0
1.0425 -0.0758898 0.0230411 625.0
1.051 -0.0665608 0.0262395 650.0
1.05385 -0.0558489 0.0278261 675.0
1.05671 -0.0537576 0.0300034 700.0
1.05633 -0.0430661 0.0314456 725.0
1.05782 -0.0310657 0.0365119 750.0
1.05637 -0.0230334 0.0378652 775.0
1.05755 -0.0157089 0.039916 800.0
1.05588 -0.00673338 0.0422058 825.0
1.05135 0.00265119 0.0480316 850.0
1.04407 0.00358183 0.0531044 875.0
1.03455 0.0125089 0.0568581 900.0
1.03731 0.0153501 0.0558693 925.0
1.03334 0.0221833 0.058019 950.0
1.02763 0.0313213 0.0600333 975.0
1.02305 0.0384017 0.0611603 1000.0
0.373078 -0.519583 -0.460995 100.0
